Name of Issuer,Title of class,CUSIP,Value,Share,SH,INVSTMT,SOLE,NONE
A D A M Inc.                        ,com ,0088U108 , 2592, 367700,SH,Sole,253100,114600
AAR Corp.                           ,com ,00361105 ,  367,  12900,SH,Sole,  9900,  3000
ASV Inc.                            ,com ,01963107 ,47310,1468334,SH,Sole,896744,571590
ATP Oil & Gas Corp.                 ,com ,0208j108 ,27316, 622097,SH,Sole,444775,177322
"Abaxis, Inc.                        ",com ,02567105 , 9750, 429900,SH,Sole,310700,119200
Ace Comm. Corp.                     ,com ,04404109 , 3741,1350376,SH,Sole,928976,421400
Adams Respiratory Therapeutics      ,com ,0635p107 ,34689, 872246,SH,Sole,502632,369614
Adeza Biomedical Corp.              ,com ,06864102 ,23122,1094257,SH,Sole,778138,316119
Aeroflex Inc.                       ,com ,07768104 ,  578,  42100,SH,Sole, 32400,  9700
Akamai Technologies Com             ,com ,0971t101 , 1410,  42877,SH,Sole, 16427, 26450
Aldila Inc.                         ,com ,14384200 ,12031, 362381,SH,Sole,263938, 98443
"Allion Healthcare, Inc.             ",com ,19615103 , 6072, 447819,SH,Sole,264644,183175
Allis Chalmers Energy               ,com ,19645506 , 3782, 277500,SH,Sole,191400, 86100
Alpha Pro Tech Ltd.                 ,com ,20772109 , 2541,1004400,SH,Sole,681300,323100
American Science & Engr. Inc.       ,com ,29429107 ,15349, 164339,SH,Sole,115815, 48524
American Software                   ,com ,29683109 , 1560, 214600,SH,Sole,148000, 66600
"Answerthink, Inc.                   ",com ,36916104 , 2773, 431200,SH,Sole,415000, 16200
Applix Inc.                         ,com ,38316105 ,   91,  11900,SH,Sole,      , 11900
"Arena Resources, Inc.               ",com ,40049108 , 6380, 182800,SH,Sole,131800, 51000
Arthrocare Corp.                    ,com ,43136100 ,28043, 586424,SH,Sole,419098,167326
Aspect Medical Systems              ,com ,45235108 ,12324, 449126,SH,Sole,318132,130994
Aspreva Pharmaceutical ADR          ,com ,4538t109 ,43453,1745818,SH,Sole,050740,695078
Astec Inds Inc.                     ,com ,46224101 , 1605,  44700,SH,Sole, 41100,  3600
Astronics Corp.                     ,com ,46433108 ,  698,  51750,SH,Sole, 35700, 16050
Atheros Communications              ,com ,4743p108 ,  477,  18200,SH,Sole, 14000,  4200
Audio Codes ADR                     ,com ,15342104 ,17725,1282553,SH,Sole,918013,364540
"BTU International, Inc.             ",com ,56032105 , 3845, 234000,SH,Sole,161300, 72700
